City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
192,garhi khairo,28.0606,67.9803,32.89000000000004,59,97,2.34,PK,1690167212
193,dunedin,-45.8742,170.5036,9.330000000000041,97,96,1.34,NZ,1690167057
194,longyearbyen,78.2186,15.6401,9.910000000000025,76,40,3.09,SJ,1690167213
195,quelimane,-17.8786,36.8883,16.970000000000027,93,0,0.51,MZ,1690167191
196,bubaque,11.2833,-15.8333,26.850000000000023,82,100,3.29,GW,1690167213
197,chibougamau,49.9168,-74.3659,15.79000000000002,67,40,1.67,CA,1690167213
198,razole,16.4833,81.8333,27.010000000000048,83,100,5.23,IN,1690167214
199,christchurch,-43.5333,172.6333,11.29000000000002,89,100,7.2,NZ,1690167215
200,dhidhdhoo,6.8833,73.1,28.370000000000005,79,99,6.56,MV,1690167215
201,fomboni,-12.28,43.7425,24.99000000000001,77,22,6.41,KM,1690167215
202,sona,45.4388,10.8255,22.75,83,0,1.54,IT,1690167216
203,enewetak,11.3474,162.3373,28.710000000000036,74,68,8.09,MH,1690167216
204,badger,64.8,-147.5333,30.930000000000007,44,0,1.54,US,1690167163
205,selfoss,63.9331,-20.9971,11.140000000000043,78,100,1.34,IS,1690167217
206,kalat,29.0225,66.5916,21.210000000000036,72,100,2.68,PK,1690167217
207,ilhabela,-23.7781,-45.3581,19.840000000000032,67,1,1.81,BR,1690167207
208,pervomayskoye,43.919,46.7102,24.220000000000027,64,28,1.47,RU,1690167218
209,kodiak,57.79,-152.4072,17.730000000000018,63,0,3.6,US,1690166990
210,port lincoln,-34.7333,135.8667,13.660000000000025,70,100,2.04,AU,1690167136
211,pazardzhik,42.2,24.3333,19.80000000000001,72,0,0.14,BG,1690167053
212,flying fish cove,-10.4217,105.6791,25.82000000000005,78,75,6.17,CX,1690167219
213,itaituba,-4.2761,-55.9836,24.760000000000048,53,44,0.46,BR,1690167079
214,gorontalo,0.5412,123.0595,29.920000000000016,63,87,4.36,ID,1690167220
215,lata,40.1629,-8.3327,15.580000000000041,98,67,0.88,PT,1690167220
216,st. john's,47.5649,-52.7093,21.660000000000025,94,20,5.66,CA,1690166993
217,i-n-salah,27.1935,2.4607,34.360000000000014,9,0,4.46,DZ,1690167220
218,sterling,39.0062,-77.4286,26.160000000000025,74,20,3.09,US,1690166921
219,tenno,39.9,139.9667,33.5,65,80,3.12,JP,1690167221
220,cabedelo,-6.9811,-34.8339,22.370000000000005,85,18,5.32,BR,1690167221
221,san patricio,28.017,-97.5169,30.920000000000016,62,100,4.49,US,1690167222
222,el alto,-4.2714,-81.2147,22.810000000000002,82,2,8.48,PE,1690167222
223,polyarnyy,69.1989,33.4478,9.450000000000045,95,100,5.73,RU,1690167222
224,yongfeng,27.4283,112.1834,32.620000000000005,65,95,2.76,CN,1690167222
225,nanning,22.8167,108.3167,31.25,70,87,2.11,CN,1690167223
226,san jose del cabo,23.0589,-109.6977,30.02000000000004,81,75,4.12,MX,1690167223
227,fortaleza,-3.7227,-38.5247,27.07000000000005,78,0,5.14,BR,1690167215
228,hasaki,35.7333,140.8333,37.379999999999995,68,78,4.83,JP,1690167224
229,guerrero negro,27.9769,-114.0611,20.100000000000023,83,75,7.1,MX,1690166931
230,nar'yan-mar,67.6713,53.087,16.060000000000002,84,100,2.33,RU,1690167224
231,kuanda,56.3161,116.0806,25.74000000000001,48,75,0.15,RU,1690167224
232,tazovsky,67.4667,78.7,17.460000000000036,76,1,0.88,RU,1690167225
233,mejit,10.2753,170.8646,28.590000000000032,78,42,7.82,MH,1690167225
234,bodo,67.28,14.405,13.760000000000048,93,100,1.54,NO,1690167226
235,mount gambier,-37.8333,140.7667,14.300000000000011,64,78,3.32,AU,1690167226
236,fort bragg,35.139,-79.006,24.55000000000001,97,20,2.06,US,1690167226
237,ilulissat,69.2167,-51.1,8.010000000000048,93,100,1.54,GL,1690167226
238,sosnovo-ozerskoye,52.5249,111.5418,21.710000000000036,47,100,2.99,RU,1690167227
239,lagoa,39.05,-27.9833,22.0,83,100,4.47,PT,1690167227
240,ulsteinvik,62.3432,5.8487,14.060000000000002,89,65,4.02,NO,1690167227
241,ponta delgada,37.7333,-25.6667,21.400000000000034,83,20,3.09,PT,1690166957
242,manturovo,58.3353,44.7619,13.890000000000043,95,93,3.24,RU,1690167228
243,linxia chengguanzhen,35.6003,103.2064,23.870000000000005,51,0,1.07,CN,1690167228
244,as sulayyil,20.4607,45.5779,30.140000000000043,13,95,6.39,SA,1690167228
245,nelson bay,-32.7167,152.15,17.78000000000003,93,52,4.02,AU,1690167228
246,karkira,36.9292,6.5856,32.129999999999995,21,0,4.93,DZ,1690167229
247,holualoa,19.6228,-155.9522,26.910000000000025,94,75,4.63,US,1690167167
248,new norfolk,-42.7826,147.0587,14.950000000000045,61,100,4.21,AU,1690167193
249,as samawah,31.332,45.2944,34.05000000000001,15,0,4.49,IQ,1690167230
250,cayambe,0.05,-78.1333,10.590000000000032,84,89,3.67,EC,1690167230
251,bhiwani,28.7833,76.1333,31.910000000000025,61,95,4.05,IN,1690167231
252,nova sintra,14.8667,-24.7167,23.379999999999995,75,86,3.84,CV,1690167231
253,gamba,-2.65,10.0,22.07000000000005,89,100,2.49,GA,1690167231
254,kurumkan,54.3,110.3,25.460000000000036,43,22,1.89,RU,1690167232
255,san andres,12.5847,-81.7006,29.010000000000048,84,20,5.66,CO,1690167232
256,vorkuta,67.5,64.0,14.350000000000023,94,99,2.68,RU,1690167232
257,tolanaro,-25.0319,46.9987,19.04000000000002,88,0,1.03,MG,1690167232
258,san antonio de pale,-1.4014,5.6325,22.689999999999998,81,100,5.23,GQ,1690167233
259,shingu,33.7333,135.9833,28.99000000000001,65,0,2.52,JP,1690167193
260,caxito,-8.5785,13.6643,18.220000000000027,96,44,0.89,AO,1690167233
261,hadibu,12.65,54.0333,24.920000000000016,79,100,13.15,YE,1690167234
262,newport,51.5877,-2.9984,15.939999999999998,91,100,1.77,GB,1690166936
263,whangarei,-35.7317,174.3239,15.160000000000025,70,18,3.43,NZ,1690167235
264,coquimbo,-29.9533,-71.3436,13.850000000000023,88,0,2.06,CL,1690167235
265,santiago,-33.4569,-70.6483,11.460000000000036,88,75,1.03,CL,1690166946
266,taroa,8.7058,171.2275,28.05000000000001,79,58,8.88,MH,1690167236
267,belogradchik,43.6272,22.6836,16.189999999999998,47,0,1.44,BG,1690167236
268,antofagasta,-23.65,-70.4,17.600000000000023,88,56,1.32,CL,1690167006
269,spartanburg,34.9496,-81.9321,22.090000000000032,92,100,2.57,US,1690167048
270,petropavlovsk-kamchatsky,53.0452,158.6483,24.33000000000004,41,20,7.0,RU,1690167237
271,hengchun,22.0042,120.7439,30.760000000000048,64,70,4.92,TW,1690167237
272,kamyzyak,46.11,48.0736,22.99000000000001,83,0,1.0,RU,1690167237
273,tralee,52.2704,-9.7026,12.580000000000041,93,98,2.06,IE,1690167214
274,nishinoomote,30.7333,131.0,30.310000000000002,84,75,5.66,JP,1690167238
275,puerto aysen,-45.4,-72.7,-0.6099999999999568,97,100,1.73,CL,1690167238
276,al jawf,29.5,38.75,26.79000000000002,35,0,3.02,SA,1690167238
277,murun-kuren,49.6342,100.1625,19.590000000000032,47,6,2.0,MN,1690167238
278,namibe,-15.1961,12.1522,17.620000000000005,69,71,3.98,AO,1690167239
279,remire-montjoly,4.9167,-52.2667,25.02000000000004,94,0,0.0,GF,1690167240
280,horst,52.3083,5.5819,17.79000000000002,89,100,4.43,NL,1690167240
281,brookings,44.3114,-96.7984,23.920000000000016,83,1,3.23,US,1690167119
282,punta cana,18.5818,-68.4043,27.870000000000005,78,75,1.54,DO,1690167241
283,la isla,18.6,-96.15,25.129999999999995,90,94,1.51,MX,1690167242
284,kirensk,57.7853,108.1119,28.5,44,4,0.65,RU,1690167243
285,jutai,-5.1833,-68.9,25.200000000000045,62,78,1.21,BR,1690167244
286,castillos,-34.1667,-53.8333,10.510000000000048,80,100,4.2,UY,1690167245
287,jiujiang,29.7333,115.9833,31.590000000000032,69,29,1.03,CN,1690167245
288,boende,-0.2167,20.8667,22.629999999999995,88,16,0.89,CD,1690167245
289,cortez,37.3489,-108.5859,31.420000000000016,23,0,4.12,US,1690167246
290,selkirk,50.1436,-96.8845,21.04000000000002,85,6,2.1,CA,1690167247
291,machico,32.7,-16.7667,21.670000000000016,77,20,3.09,PT,1690167248
292,piacabucu,-10.4056,-36.4344,23.30000000000001,81,2,3.62,BR,1690167248
293,yeppoon,-23.1333,150.7333,11.879999999999995,84,100,5.94,AU,1690167249
294,saldanha,-33.0117,17.9442,4.03000000000003,79,1,3.36,ZA,1690167249
295,galesong,-5.3166,119.3661,30.010000000000048,61,19,0.99,ID,1690167249
296,bardai,11.65,7.2333,21.910000000000025,82,100,0.92,NG,1690167250
297,tashtagol,52.7657,87.8894,17.590000000000032,86,71,2.2,RU,1690167250
298,saint-joseph,-21.3667,55.6167,20.210000000000036,82,28,4.82,RE,1690167251
299,jumla,29.2747,82.1838,17.689999999999998,96,98,1.32,NP,1690167251
300,susuman,62.7833,148.1667,16.120000000000005,51,66,2.77,RU,1690167251
301,bichena,10.45,38.2,12.430000000000007,91,99,1.93,ET,1690167251
302,naze,28.3667,129.4833,28.510000000000048,80,52,4.42,JP,1690167179
303,atar,20.5169,-13.0499,31.710000000000036,39,66,3.73,MR,1690167252
304,bonthe,7.5264,-12.505,24.920000000000016,87,98,3.14,SL,1690167252
